flight_id,date,year,month,day,hour,carrier,carrier_name,origin,origin_city,dest,dest_city,dep_delay,arr_delay,distance
21,2024-01-01,2024,1,1,21,B6,JetBlue,SFO,San Francisco,BOS,Boston,18.9,17.0,1017
22,2024-01-01,2024,1,1,22,B6,JetBlue,DEN,Denver,SFO,San Francisco,4.8,4.3,889
23,2024-01-01,2024,1,1,23,UA,United Airlines,BOS,Boston,DFW,Dallas,14.6,13.1,904
24,2024-01-02,2024,1,2,0,WN,Southwest Airlines,SFO,San Francisco,JFK,New York,2.1,1.9,1003
25,2024-01-02,2024,1,2,1,DL,Delta Air Lines,ORD,Chicago,ATL,Atlanta,17.5,15.8,1439
26,2024-01-02,2024,1,2,2,WN,Southwest Airlines,LAX,Los Angeles,JFK,New York,21.5,19.4,1232
27,2024-01-02,2024,1,2,3,NK,Spirit Airlines,LAX,Los Angeles,DEN,Denver,12.8,11.5,2638
28,2024-01-02,2024,1,2,4,AS,Alaska Airlines,SFO,San Francisco,ATL,Atlanta,13.7,12.3,904
29,2024-01-02,2024,1,2,5,AA,American Airlines,ATL,Atlanta,DFW,Dallas,26.1,23.5,2782
30,2024-01-02,2024,1,2,6,DL,Delta Air Lines,ATL,Atlanta,SFO,San Francisco,26.7,24.0,630
31,2024-01-02,2024,1,2,7,UA,United Airlines,LAX,Los Angeles,JFK,New York,43.4,39.1,2046
32,2024-01-02,2024,1,2,8,B6,JetBlue,ATL,Atlanta,BOS,Boston,32.4,29.2,512
33,2024-01-02,2024,1,2,9,AS,Alaska Airlines,DEN,Denver,JFK,New York,42.3,38.1,1825
34,2024-01-02,2024,1,2,10,AS,Alaska Airlines,ATL,Atlanta,JFK,New York,29.5,26.6,2310
35,2024-01-02,2024,1,2,11,AA,American Airlines,ATL,Atlanta,BOS,Boston,28.7,25.8,990
36,2024-01-02,2024,1,2,12,UA,United Airlines,LAX,Los Angeles,ORD,Chicago,21.0,18.9,1344
37,2024-01-02,2024,1,2,13,UA,United Airlines,DFW,Dallas,BOS,Boston,29.9,26.9,2517
38,2024-01-02,2024,1,2,14,DL,Delta Air Lines,LAX,Los Angeles,ORD,Chicago,37.2,33.5,1927
39,2024-01-02,2024,1,2,15,UA,United Airlines,SFO,San Francisco,ATL,Atlanta,24.5,22.1,598
40,2024-01-02,2024,1,2,16,WN,Southwest Airlines,ORD,Chicago,DFW,Dallas,40.3,36.3,635
41,2024-01-02,2024,1,2,17,B6,JetBlue,DFW,Dallas,DEN,Denver,42.5,38.3,2798
42,2024-01-02,2024,1,2,18,UA,United Airlines,ATL,Atlanta,LAX,Los Angeles,23.1,20.8,2358
43,2024-01-02,2024,1,2,19,UA,United Airlines,SFO,San Francisco,ORD,Chicago,30.9,27.8,267
44,2024-01-02,2024,1,2,20,AS,Alaska Airlines,DEN,Denver,DFW,Dallas,35.3,31.8,549
45,2024-01-02,2024,1,2,21,WN,Southwest Airlines,ATL,Atlanta,BOS,Boston,22.5,20.3,2205
46,2024-01-02,2024,1,2,22,WN,Southwest Airlines,ATL,Atlanta,SFO,San Francisco,32.4,29.2,204
47,2024-01-02,2024,1,2,23,DL,Delta Air Lines,BOS,Boston,ORD,Chicago,13.5,12.2,1698
48,2024-01-03,2024,1,3,0,WN,Southwest Airlines,LAX,Los Angeles,ATL,Atlanta,17.9,16.1,331
49,2024-01-03,2024,1,3,1,AA,American Airlines,BOS,Boston,JFK,New York,15.9,14.3,437
50,2024-01-03,2024,1,3,2,NK,Spirit Airlines,JFK,New York,DFW,Dallas,20.5,18.5,2133
51,2024-01-03,2024,1,3,3,B6,JetBlue,ATL,Atlanta,DFW,Dallas,16.6,14.9,1460
52,2024-01-03,2024,1,3,4,NK,Spirit Airlines,DEN,Denver,LAX,Los Angeles,14.5,13.1,202
53,2024-01-03,2024,1,3,5,NK,Spirit Airlines,DFW,Dallas,LAX,Los Angeles,12.9,11.6,1991
54,2024-01-03,2024,1,3,6,B6,JetBlue,ORD,Chicago,JFK,New York,29.1,26.2,640
55,2024-01-03,2024,1,3,7,UA,United Airlines,BOS,Boston,JFK,New York,37.8,34.0,451
56,2024-01-03,2024,1,3,8,AA,American Airlines,SFO,San Francisco,BOS,Boston,36.1,32.5,2612
57,2024-01-03,2024,1,3,9,UA,United Airlines,DFW,Dallas,DEN,Denver,19.9,17.9,2004
58,2024-01-03,2024,1,3,10,UA,United Airlines,JFK,New York,SFO,San Francisco,15.7,14.1,2729
59,2024-01-03,2024,1,3,11,B6,JetBlue,DEN,Denver,BOS,Boston,11.8,10.6,1414
60,2024-01-03,2024,1,3,12,DL,Delta Air Lines,DEN,Denver,BOS,Boston,30.9,27.8,2202
61,2024-01-03,2024,1,3,13,B6,JetBlue,SFO,San Francisco,ATL,Atlanta,18.1,16.3,2222
62,2024-01-03,2024,1,3,14,NK,Spirit Airlines,BOS,Boston,DEN,Denver,27.3,24.6,2067
63,2024-01-03,2024,1,3,15,DL,Delta Air Lines,JFK,New York,LAX,Los Angeles,20.2,18.2,2663
64,2024-01-03,2024,1,3,16,DL,Delta Air Lines,ATL,Atlanta,ORD,Chicago,24.9,22.4,2121
65,2024-01-03,2024,1,3,17,DL,Delta Air Lines,LAX,Los Angeles,JFK,New York,32.8,29.5,2295
66,2024-01-03,2024,1,3,18,NK,Spirit Airlines,JFK,New York,LAX,Los Angeles,32.3,29.1,2037
67,2024-01-03,2024,1,3,19,UA,United Airlines,LAX,Los Angeles,ORD,Chicago,21.9,19.7,258
68,2024-01-03,2024,1,3,20,WN,Southwest Airlines,DFW,Dallas,BOS,Boston,18.6,16.7,1941
69,2024-01-03,2024,1,3,21,AS,Alaska Airlines,BOS,Boston,JFK,New York,17.2,15.5,1560
70,2024-01-03,2024,1,3,22,B6,JetBlue,ATL,Atlanta,LAX,Los Angeles,10.7,9.6,2614
71,2024-01-03,2024,1,3,23,AA,American Airlines,DFW,Dallas,DEN,Denver,24.7,22.2,1404
72,2024-01-04,2024,1,4,0,NK,Spirit Airlines,JFK,New York,SFO,San Francisco,17.1,15.4,779
73,2024-01-04,2024,1,4,1,UA,United Airlines,ORD,Chicago,LAX,Los Angeles,7.4,6.7,605
74,2024-01-04,2024,1,4,2,AA,American Airlines,DEN,Denver,SFO,San Francisco,15.0,13.5,582
75,2024-01-04,2024,1,4,3,AS,Alaska Airlines,SFO,San Francisco,DEN,Denver,26.9,24.2,1376
76,2024-01-04,2024,1,4,4,AS,Alaska Airlines,DEN,Denver,ORD,Chicago,29.0,26.1,964
77,2024-01-04,2024,1,4,5,NK,Spirit Airlines,BOS,Boston,DFW,Dallas,22.8,20.5,2018
78,2024-01-04,2024,1,4,6,DL,Delta Air Lines,DEN,Denver,SFO,San Francisco,10.4,9.4,2082
79,2024-01-04,2024,1,4,7,NK,Spirit Airlines,JFK,New York,SFO,San Francisco,44.8,40.3,2258
80,2024-01-04,2024,1,4,8,AS,Alaska Airlines,LAX,Los Angeles,JFK,New York,23.8,21.4,1926
81,2024-01-04,2024,1,4,9,B6,JetBlue,SFO,San Francisco,LAX,Los Angeles,31.1,28.0,1769
82,2024-01-04,2024,1,4,10,UA,United Airlines,ORD,Chicago,JFK,New York,32.8,29.5,1570
83,2024-01-04,2024,1,4,11,AA,American Airlines,ATL,Atlanta,ORD,Chicago,36.7,33.0,363
84,2024-01-04,2024,1,4,12,AA,American Airlines,ORD,Chicago,SFO,San Francisco,40.3,36.3,1966
85,2024-01-04,2024,1,4,13,B6,JetBlue,DFW,Dallas,BOS,Boston,22.0,19.8,1872
86,2024-01-04,2024,1,4,14,AA,American Airlines,DFW,Dallas,ATL,Atlanta,22.6,20.3,1329
87,2024-01-04,2024,1,4,15,NK,Spirit Airlines,ORD,Chicago,LAX,Los Angeles,21.6,19.4,464
88,2024-01-04,2024,1,4,16,AS,Alaska Airlines,JFK,New York,ORD,Chicago,25.9,23.3,2559
89,2024-01-04,2024,1,4,17,UA,United Airlines,ORD,Chicago,DFW,Dallas,46.5,41.9,622
90,2024-01-04,2024,1,4,18,UA,United Airlines,JFK,New York,LAX,Los Angeles,34.0,30.6,416
91,2024-01-04,2024,1,4,19,AA,American Airlines,SFO,San Francisco,DFW,Dallas,28.8,25.9,779
92,2024-01-04,2024,1,4,20,AS,Alaska Airlines,DEN,Denver,BOS,Boston,20.6,18.5,1825
93,2024-01-04,2024,1,4,21,UA,United Airlines,SFO,San Francisco,DFW,Dallas,29.4,26.5,2745
94,2024-01-04,2024,1,4,22,AA,American Airlines,LAX,Los Angeles,JFK,New York,14.7,13.2,2371
95,2024-01-04,2024,1,4,23,WN,Southwest Airlines,ORD,Chicago,DEN,Denver,17.8,16.0,2655
96,2024-01-05,2024,1,5,0,UA,United Airlines,LAX,Los Angeles,SFO,San Francisco,20.6,18.5,1074
97,2024-01-05,2024,1,5,1,UA,United Airlines,ORD,Chicago,SFO,San Francisco,25.9,23.3,629
98,2024-01-05,2024,1,5,2,AS,Alaska Airlines,DFW,Dallas,ORD,Chicago,0.0,0.0,1720
99,2024-01-05,2024,1,5,3,AS,Alaska Airlines,ORD,Chicago,DEN,Denver,23.4,21.1,560
100,2024-01-05,2024,1,5,4,AS,Alaska Airlines,BOS,Boston,DEN,Denver,18.6,16.7,528
101,2024-01-05,2024,1,5,5,AS,Alaska Airlines,LAX,Los Angeles,DFW,Dallas,27.5,24.8,213
102,2024-01-05,2024,1,5,6,AS,Alaska Airlines,DEN,Denver,ORD,Chicago,19.7,17.7,233
103,2024-01-05,2024,1,5,7,NK,Spirit Airlines,JFK,New York,DFW,Dallas,35.2,31.7,919
104,2024-01-05,2024,1,5,8,AA,American Airlines,SFO,San Francisco,DFW,Dallas,39.2,35.3,2376
105,2024-01-05,2024,1,5,9,AS,Alaska Airlines,JFK,New York,ATL,Atlanta,29.8,26.8,413
106,2024-01-05,2024,1,5,10,WN,Southwest Airlines,JFK,New York,ATL,Atlanta,13.9,12.5,737
107,2024-01-05,2024,1,5,11,B6,JetBlue,SFO,San Francisco,BOS,Boston,33.5,30.2,525
108,2024-01-05,2024,1,5,12,WN,Southwest Airlines,DFW,Dallas,SFO,San Francisco,32.9,29.6,2778
109,2024-01-05,2024,1,5,13,NK,Spirit Airlines,JFK,New York,ATL,Atlanta,27.2,24.5,1421
110,2024-01-05,2024,1,5,14,B6,JetBlue,ORD,Chicago,LAX,Los Angeles,31.9,28.7,277
111,2024-01-05,2024,1,5,15,DL,Delta Air Lines,ORD,Chicago,ATL,Atlanta,25.1,22.6,1100
112,2024-01-05,2024,1,5,16,NK,Spirit Airlines,ATL,Atlanta,DFW,Dallas,36.4,32.8,1057
113,2024-01-05,2024,1,5,17,B6,JetBlue,SFO,San Francisco,DEN,Denver,32.9,29.6,439
114,2024-01-05,2024,1,5,18,AA,American Airlines,DFW,Dallas,DEN,Denver,50.2,45.2,1203
115,2024-01-05,2024,1,5,19,WN,Southwest Airlines,DFW,Dallas,DEN,Denver,35.0,31.5,2625
116,2024-01-05,2024,1,5,20,B6,JetBlue,BOS,Boston,SFO,San Francisco,19.7,17.7,1687
117,2024-01-05,2024,1,5,21,AS,Alaska Airlines,BOS,Boston,DEN,Denver,36.8,33.1,675
118,2024-01-05,2024,1,5,22,AA,American Airlines,ATL,Atlanta,LAX,Los Angeles,18.4,16.6,2311
119,2024-01-05,2024,1,5,23,UA,United Airlines,DEN,Denver,ATL,Atlanta,16.6,14.9,2270
120,2024-01-06,2024,1,6,0,NK,Spirit Airlines,DEN,Denver,JFK,New York,6.0,5.4,914
121,2024-01-06,2024,1,6,1,B6,JetBlue,ORD,Chicago,SFO,San Francisco,10.7,9.6,2112
122,2024-01-06,2024,1,6,2,NK,Spirit Airlines,JFK,New York,ATL,Atlanta,17.9,16.1,962
123,2024-01-06,2024,1,6,3,WN,Southwest Airlines,SFO,San Francisco,JFK,New York,12.2,11.0,971
124,2024-01-06,2024,1,6,4,DL,Delta Air Lines,ORD,Chicago,DFW,Dallas,30.5,27.5,741
125,2024-01-06,2024,1,6,5,NK,Spirit Airlines,ATL,Atlanta,DFW,Dallas,15.6,14.0,1299
126,2024-01-06,2024,1,6,6,NK,Spirit Airlines,DEN,Denver,BOS,Boston,25.0,22.5,1576
127,2024-01-06,2024,1,6,7,NK,Spirit Airlines,DFW,Dallas,BOS,Boston,43.5,39.2,1159
128,2024-01-06,2024,1,6,8,WN,Southwest Airlines,JFK,New York,BOS,Boston,32.9,29.6,1953
129,2024-01-06,2024,1,6,9,AS,Alaska Airlines,BOS,Boston,DEN,Denver,29.9,26.9,2719
130,2024-01-06,2024,1,6,10,AA,American Airlines,JFK,New York,ATL,Atlanta,31.5,28.4,1317
131,2024-01-06,2024,1,6,11,DL,Delta Air Lines,ATL,Atlanta,BOS,Boston,25.6,23.0,2101
132,2024-01-06,2024,1,6,12,AA,American Airlines,DEN,Denver,DFW,Dallas,21.6,19.4,1698
133,2024-01-06,2024,1,6,13,DL,Delta Air Lines,DFW,Dallas,ATL,Atlanta,25.3,22.8,2462
134,2024-01-06,2024,1,6,14,DL,Delta Air Lines,DFW,Dallas,DEN,Denver,9.9,8.9,1173
135,2024-01-06,2024,1,6,15,DL,Delta Air Lines,LAX,Los Angeles,DEN,Denver,31.2,28.1,1123
136,2024-01-06,2024,1,6,16,DL,Delta Air Lines,DFW,Dallas,ORD,Chicago,23.1,20.8,430
137,2024-01-06,2024,1,6,17,NK,Spirit Airlines,DEN,Denver,JFK,New York,51.3,46.2,2795
138,2024-01-06,2024,1,6,18,AA,American Airlines,JFK,New York,SFO,San Francisco,42.5,38.3,2625
139,2024-01-06,2024,1,6,19,B6,JetBlue,ORD,Chicago,SFO,San Francisco,32.6,29.3,1599
140,2024-01-06,2024,1,6,20,UA,United Airlines,SFO,San Francisco,BOS,Boston,28.3,25.5,824
141,2024-01-06,2024,1,6,21,DL,Delta Air Lines,JFK,New York,LAX,Los Angeles,24.5,22.1,1370
142,2024-01-06,2024,1,6,22,UA,United Airlines,SFO,San Francisco,DFW,Dallas,11.1,10.0,2116
143,2024-01-06,2024,1,6,23,NK,Spirit Airlines,ATL,Atlanta,SFO,San Francisco,10.2,9.2,371
144,2024-01-07,2024,1,7,0,NK,Spirit Airlines,ORD,Chicago,DFW,Dallas,28.2,25.4,1997
145,2024-01-07,2024,1,7,1,NK,Spirit Airlines,SFO,San Francisco,DFW,Dallas,24.4,22.0,751
146,2024-01-07,2024,1,7,2,NK,Spirit Airlines,SFO,San Francisco,DEN,Denver,14.4,13.0,2484
147,2024-01-07,2024,1,7,3,NK,Spirit Airlines,LAX,Los Angeles,ATL,Atlanta,10.3,9.3,1559
148,2024-01-07,2024,1,7,4,UA,United Airlines,DFW,Dallas,LAX,Los Angeles,8.0,7.2,935
149,2024-01-07,2024,1,7,5,AA,American Airlines,SFO,San Francisco,ORD,Chicago,16.2,14.6,2557
150,2024-01-07,2024,1,7,6,AS,Alaska Airlines,SFO,San Francisco,DFW,Dallas,16.5,14.9,2549
151,2024-01-07,2024,1,7,7,NK,Spirit Airlines,LAX,Los Angeles,SFO,San Francisco,35.2,31.7,837
152,2024-01-07,2024,1,7,8,DL,Delta Air Lines,ATL,Atlanta,ORD,Chicago,25.6,23.0,2742
153,2024-01-07,2024,1,7,9,WN,Southwest Airlines,LAX,Los Angeles,ORD,Chicago,29.5,26.6,2102
154,2024-01-07,2024,1,7,10,WN,Southwest Airlines,DFW,Dallas,DEN,Denver,17.4,15.7,394
155,2024-01-07,2024,1,7,11,DL,Delta Air Lines,DFW,Dallas,DEN,Denver,32.5,29.3,1496
156,2024-01-07,2024,1,7,12,UA,United Airlines,DFW,Dallas,JFK,New York,30.4,27.4,1600
157,2024-01-07,2024,1,7,13,DL,Delta Air Lines,ORD,Chicago,JFK,New York,21.2,19.1,260
158,2024-01-07,2024,1,7,14,AS,Alaska Airlines,LAX,Los Angeles,ATL,Atlanta,6.9,6.2,1191
159,2024-01-07,2024,1,7,15,AS,Alaska Airlines,SFO,San Francisco,DEN,Denver,26.3,23.7,874
160,2024-01-07,2024,1,7,16,B6,JetBlue,BOS,Boston,LAX,Los Angeles,33.6,30.2,875
161,2024-01-07,2024,1,7,17,B6,JetBlue,LAX,Los Angeles,DFW,Dallas,43.0,38.7,2519
162,2024-01-07,2024,1,7,18,UA,United Airlines,ORD,Chicago,BOS,Boston,33.4,30.1,2241
163,2024-01-07,2024,1,7,19,AA,American Airlines,DEN,Denver,JFK,New York,34.4,31.0,794
164,2024-01-07,2024,1,7,20,B6,JetBlue,ATL,Atlanta,BOS,Boston,26.3,23.7,2100
165,2024-01-07,2024,1,7,21,UA,United Airlines,DFW,Dallas,BOS,Boston,34.7,31.2,1593
166,2024-01-07,2024,1,7,22,NK,Spirit Airlines,DEN,Denver,DFW,Dallas,5.9,5.3,1100
167,2024-01-07,2024,1,7,23,WN,Southwest Airlines,JFK,New York,ORD,Chicago,0.7,0.6,912
168,2024-01-08,2024,1,8,0,UA,United Airlines,BOS,Boston,DFW,Dallas,7.3,6.6,1566
169,2024-01-08,2024,1,8,1,UA,United Airlines,SFO,San Francisco,JFK,New York,6.3,5.7,926
170,2024-01-08,2024,1,8,2,AA,American Airlines,DFW,Dallas,SFO,San Francisco,20.7,18.6,1143
171,2024-01-08,2024,1,8,3,AA,American Airlines,ATL,Atlanta,LAX,Los Angeles,12.7,11.4,1506
172,2024-01-08,2024,1,8,4,NK,Spirit Airlines,LAX,Los Angeles,BOS,Boston,12.6,11.3,228
173,2024-01-08,2024,1,8,5,NK,Spirit Airlines,ORD,Chicago,BOS,Boston,27.2,24.5,2016
174,2024-01-08,2024,1,8,6,AA,American Airlines,LAX,Los Angeles,DFW,Dallas,25.5,23.0,2445
175,2024-01-08,2024,1,8,7,AA,American Airlines,JFK,New York,ORD,Chicago,33.2,29.9,295
176,2024-01-08,2024,1,8,8,DL,Delta Air Lines,LAX,Los Angeles,JFK,New York,33.6,30.2,1313
177,2024-01-08,2024,1,8,9,B6,JetBlue,ORD,Chicago,DFW,Dallas,30.0,27.0,2027
178,2024-01-08,2024,1,8,10,NK,Spirit Airlines,JFK,New York,LAX,Los Angeles,16.6,14.9,1442
179,2024-01-08,2024,1,8,11,AS,Alaska Airlines,DEN,Denver,SFO,San Francisco,16.4,14.8,1524
180,2024-01-08,2024,1,8,12,DL,Delta Air Lines,ORD,Chicago,DEN,Denver,37.1,33.4,1136
181,2024-01-08,2024,1,8,13,UA,United Airlines,DEN,Denver,SFO,San Francisco,16.9,15.2,455
182,2024-01-08,2024,1,8,14,NK,Spirit Airlines,DFW,Dallas,ORD,Chicago,21.3,19.2,1827
183,2024-01-08,2024,1,8,15,B6,JetBlue,BOS,Boston,JFK,New York,26.9,24.2,2217
184,2024-01-08,2024,1,8,16,DL,Delta Air Lines,SFO,San Francisco,ATL,Atlanta,23.1,20.8,2424
185,2024-01-08,2024,1,8,17,WN,Southwest Airlines,JFK,New York,DEN,Denver,22.6,20.3,1249
186,2024-01-08,2024,1,8,18,AA,American Airlines,DFW,Dallas,ATL,Atlanta,38.0,34.2,685
187,2024-01-08,2024,1,8,19,AA,American Airlines,SFO,San Francisco,JFK,New York,30.7,27.6,2715
188,2024-01-08,2024,1,8,20,AA,American Airlines,ORD,Chicago,JFK,New York,20.8,18.7,322
189,2024-01-08,2024,1,8,21,WN,Southwest Airlines,BOS,Boston,LAX,Los Angeles,21.0,18.9,1425
190,2024-01-08,2024,1,8,22,WN,Southwest Airlines,DEN,Denver,ATL,Atlanta,24.9,22.4,2500
191,2024-01-08,2024,1,8,23,AS,Alaska Airlines,LAX,Los Angeles,BOS,Boston,13.4,12.1,1325
192,2024-01-09,2024,1,9,0,AS,Alaska Airlines,ATL,Atlanta,JFK,New York,1.8,1.6,953
193,2024-01-09,2024,1,9,1,NK,Spirit Airlines,DFW,Dallas,ATL,Atlanta,11.3,10.2,849
194,2024-01-09,2024,1,9,2,B6,JetBlue,JFK,New York,ORD,Chicago,11.8,10.6,809
195,2024-01-09,2024,1,9,3,AA,American Airlines,DFW,Dallas,LAX,Los Angeles,2.7,2.4,941
196,2024-01-09,2024,1,9,4,AA,American Airlines,LAX,Los Angeles,BOS,Boston,25.3,22.8,2277
197,2024-01-09,2024,1,9,5,DL,Delta Air Lines,ORD,Chicago,LAX,Los Angeles,20.5,18.5,651
198,2024-01-09,2024,1,9,6,AA,American Airlines,DEN,Denver,ORD,Chicago,21.9,19.7,2206
199,2024-01-09,2024,1,9,7,B6,JetBlue,DFW,Dallas,DEN,Denver,33.9,30.5,2481
200,2024-01-09,2024,1,9,8,UA,United Airlines,DFW,Dallas,JFK,New York,41.2,37.1,1423
201,2024-01-09,2024,1,9,9,UA,United Airlines,JFK,New York,ATL,Atlanta,33.3,30.0,255
202,2024-01-09,2024,1,9,10,AA,American Airlines,ATL,Atlanta,BOS,Boston,22.1,19.9,984
203,2024-01-09,2024,1,9,11,UA,United Airlines,ORD,Chicago,DFW,Dallas,26.2,23.6,289
204,2024-01-09,2024,1,9,12,UA,United Airlines,BOS,Boston,DFW,Dallas,27.8,25.0,664
205,2024-01-09,2024,1,9,13,B6,JetBlue,ORD,Chicago,JFK,New York,26.4,23.8,2753
206,2024-01-09,2024,1,9,14,AS,Alaska Airlines,SFO,San Francisco,ATL,Atlanta,20.8,18.7,2492
207,2024-01-09,2024,1,9,15,AA,American Airlines,ORD,Chicago,DEN,Denver,31.5,28.4,2180
208,2024-01-09,2024,1,9,16,B6,JetBlue,ORD,Chicago,DEN,Denver,28.3,25.5,2156
209,2024-01-09,2024,1,9,17,WN,Southwest Airlines,SFO,San Francisco,DEN,Denver,33.8,30.4,337
210,2024-01-09,2024,1,9,18,WN,Southwest Airlines,LAX,Los Angeles,SFO,San Francisco,34.0,30.6,981
211,2024-01-09,2024,1,9,19,NK,Spirit Airlines,ATL,Atlanta,LAX,Los Angeles,38.0,34.2,1595
212,2024-01-09,2024,1,9,20,UA,United Airlines,DEN,Denver,ATL,Atlanta,31.1,28.0,315
213,2024-01-09,2024,1,9,21,B6,JetBlue,DEN,Denver,BOS,Boston,19.2,17.3,547
214,2024-01-09,2024,1,9,22,AA,American Airlines,SFO,San Francisco,BOS,Boston,21.3,19.2,509
215,2024-01-09,2024,1,9,23,NK,Spirit Airlines,DFW,Dallas,JFK,New York,8.9,8.0,1795
216,2024-01-10,2024,1,10,0,NK,Spirit Airlines,SFO,San Francisco,ATL,Atlanta,0.0,0.0,2033
217,2024-01-10,2024,1,10,1,NK,Spirit Airlines,DFW,Dallas,DEN,Denver,11.9,10.7,612
218,2024-01-10,2024,1,10,2,B6,JetBlue,SFO,San Francisco,DFW,Dallas,15.0,13.5,2132
219,2024-01-10,2024,1,10,3,B6,JetBlue,BOS,Boston,DEN,Denver,12.7,11.4,719
220,2024-01-10,2024,1,10,4,DL,Delta Air Lines,LAX,Los Angeles,JFK,New York,30.7,27.6,1240
221,2024-01-10,2024,1,10,5,UA,United Airlines,SFO,San Francisco,LAX,Los Angeles,26.5,23.9,211
222,2024-01-10,2024,1,10,6,B6,JetBlue,DEN,Denver,ATL,Atlanta,14.1,12.7,2117
223,2024-01-10,2024,1,10,7,WN,Southwest Airlines,LAX,Los Angeles,ORD,Chicago,35.8,32.2,1130
224,2024-01-10,2024,1,10,8,AA,American Airlines,BOS,Boston,DFW,Dallas,36.7,33.0,2437
225,2024-01-10,2024,1,10,9,UA,United Airlines,DEN,Denver,ORD,Chicago,33.7,30.3,755
226,2024-01-10,2024,1,10,10,UA,United Airlines,ORD,Chicago,DFW,Dallas,18.9,17.0,1778
227,2024-01-10,2024,1,10,11,WN,Southwest Airlines,DFW,Dallas,BOS,Boston,38.8,34.9,1132
228,2024-01-10,2024,1,10,12,AA,American Airlines,DFW,Dallas,DEN,Denver,25.0,22.5,2628
229,2024-01-10,2024,1,10,13,DL,Delta Air Lines,JFK,New York,SFO,San Francisco,36.1,32.5,586
230,2024-01-10,2024,1,10,14,AA,American Airlines,ORD,Chicago,ATL,Atlanta,32.4,29.2,260
231,2024-01-10,2024,1,10,15,DL,Delta Air Lines,SFO,San Francisco,LAX,Los Angeles,21.6,19.4,1057
232,2024-01-10,2024,1,10,16,NK,Spirit Airlines,SFO,San Francisco,ORD,Chicago,12.4,11.2,2448
233,2024-01-10,2024,1,10,17,AS,Alaska Airlines,SFO,San Francisco,DEN,Denver,36.8,33.1,2204
234,2024-01-10,2024,1,10,18,DL,Delta Air Lines,ATL,Atlanta,DFW,Dallas,39.2,35.3,283
235,2024-01-10,2024,1,10,19,NK,Spirit Airlines,SFO,San Francisco,ATL,Atlanta,38.7,34.8,2281
236,2024-01-10,2024,1,10,20,NK,Spirit Airlines,JFK,New York,LAX,Los Angeles,24.8,22.3,2180
237,2024-01-10,2024,1,10,21,DL,Delta Air Lines,ORD,Chicago,ATL,Atlanta,19.3,17.4,1845
238,2024-01-10,2024,1,10,22,B6,JetBlue,LAX,Los Angeles,DEN,Denver,7.2,6.5,859
239,2024-01-10,2024,1,10,23,DL,Delta Air Lines,LAX,Los Angeles,DEN,Denver,26.3,23.7,1374
240,2024-01-11,2024,1,11,0,AS,Alaska Airlines,BOS,Boston,SFO,San Francisco,7.5,6.8,935
241,2024-01-11,2024,1,11,1,NK,Spirit Airlines,SFO,San Francisco,LAX,Los Angeles,14.6,13.1,2006
